Objective,Feasibility,Algorithm,Training Percentage,Data Size,Folds
-6.951087302,0.87,UG,20,900,0
-6.825020805,0.97,UG,30,900,0
-6.732898624,1,UG,40,900,0
-6.684517844,1,UG,50,900,0
-6.624310007,0.99,UG,60,900,0
-6.63177458,1,UG,70,900,0
-6.577921573,0.99,UG,80,900,0
-6.466175526,1,UG,90,900,0
-7.230607603,0.4,UG,10,1000,0
-6.920665712,0.92,UG,20,1000,0
-6.767071083,1,UG,30,1000,0
-6.733486314,1,UG,40,1000,0
-6.681765591,1,UG,50,1000,0
-6.632795032,1,UG,60,1000,0
-6.541164517,1,UG,70,1000,0
-6.486895013,1,UG,80,1000,0
-6.444316761,1,UG,90,1000,0

-7.232546393,0.46,Sectioning,10,1100,0
-7.156381707,0.55,NGS,10,1100,0
-7.158869428,0.55,UNGS,10,1100,0
-7.177153266,0.52,NV,10,1100,0
-7.158869428,0.55,UG,10,1100,0
-6.904569455,0.95,Sectioning,20,1100,0
-6.850815549,0.95,NGS,20,1100,0
-6.857191661,0.95,UNGS,20,1100,0
-6.922486809,0.87,NV,20,1100,0
-6.861122947,0.94,UG,20,1100,0
-6.691026109,1,Sectioning,30,1100,0
-6.737325601,0.99,NGS,30,1100,0
-6.743826111,0.99,UNGS,30,1100,0
-6.829966417,0.96,NV,30,1100,0
-6.751940854,0.99,UG,30,1100,0
-6.636464832,0.99,Sectioning,40,1100,0
-6.699519449,1,NGS,40,1100,0
-6.719355502,1,UNGS,40,1100,0
-6.759667474,1,NV,40,1100,0
-6.729064504,1,UG,40,1100,0
-6.521134195,1,Sectioning,50,1100,0
-6.618195847,1,NGS,50,1100,0
-6.637457073,1,UNGS,50,1100,0
-6.675951842,1,NV,50,1100,0
-6.641203775,1,UG,50,1100,0
-6.548291926,1,Sectioning,60,1100,0
-6.581082179,1,NGS,60,1100,0
-6.581082179,1,UNGS,60,1100,0
-6.602775845,1,NV,60,1100,0
-6.581082179,1,UG,60,1100,0
-6.41023253,1,Sectioning,70,1100,0
-6.518476239,1,NGS,70,1100,0
-6.518476239,1,UNGS,70,1100,0
-6.539075183,1,NV,70,1100,0
-6.531212662,1,UG,70,1100,0
-6.493682713,1,Sectioning,80,1100,0
