Objective,Feasibility,Algorithm,Training Percentage,Data Size,Folds
-6.186853338964402,0.99,CV,100,80,10
-6.067414082490626,0.99,BS,100,80,10
-6.148114106051331,0.98,CV,100,100,3
-6.141844242484052,0.99,BS,100,100,3
-6.482947285321419,0.91,CV,100,100,5
-6.069699980154132,0.99,BS,100,100,5
-6.185457564220501,1.0,CV,100,100,10
-6.120157948264364,0.99,BS,100,100,10
-6.504564427674329,0.89,CV,100,120,3
-6.505803676083205,0.89,BS,100,120,3
-6.421161144011746,0.94,CV,100,120,5
-6.346799560183647,0.93,BS,100,120,5
-6.185821320090303,0.98,CV,100,120,10
-6.320764576986569,0.95,BS,100,120,10
-6.48113806983652,0.94,CV,100,140,3
-6.416575515661195,0.95,BS,100,140,3
-6.340895366342012,0.96,CV,100,140,5
-6.342692365322982,0.96,BS,100,140,5
-5.998113574450759,1.0,CV,100,140,10
-6.24755337354364,0.99,BS,100,140,10
-6.439945823993792,0.98,CV,100,160,3
-6.41616045478716,0.96,BS,100,160,3
-6.184496279847529,0.99,CV,100,160,5
-6.236424503170266,0.99,BS,100,160,5
-5.992612163571656,1.0,CV,100,160,10
-6.305622157819122,1.0,BS,100,160,10
-6.680576582012743,0.94,CV,100,180,3
-6.580167418989145,0.94,BS,100,180,3
-6.252758950944631,1.0,CV,100,180,5
-6.431750027189051,0.98,BS,100,180,5
-6.049774509135514,1.0,CV,100,180,10
-6.515551444555399,0.97,BS,100,180,10
-6.513577660197866,0.99,CV,100,200,3
-6.543729064455054,0.96,BS,100,200,3
-6.621407290237707,0.99,CV,100,200,5
-6.41195123703437,1.0,BS,100,200,5
-6.824477367998991,0.85,CV,100,200,10
-6.467964689168311,1.0,BS,100,200,10
