Objective,Feasibility,Algorithm,Training Percentage,Data Size,Folds
-6.985454203852649,1.0,BS,100,1800,5
-6.936521103582817,1.0,CV,100,1800,10
-7.012262207905764,1.0,BS,100,1800,10
-7.029763894649663,1.0,CV,100,1900,3
-7.071960802676059,1.0,BS,100,1900,3
-6.961241526804202,1.0,CV,100,1900,5
-6.980031781746742,1.0,BS,100,1900,5
-6.835205982218456,1.0,CV,100,1900,10
-7.042497787415125,1.0,BS,100,1900,10
-7.030664303025506,1.0,CV,100,2000,3
-7.044538621745115,1.0,BS,100,2000,3
-6.979751406791141,1.0,CV,100,2000,5
-6.965546878053468,1.0,BS,100,2000,5
-6.956814678269605,1.0,CV,100,2000,10
-7.074029658345949,1.0,BS,100,2000,10
-6.698205603293889,1.0,Sectioning,10,1100,0
-6.871322738135713,1.0,NGS,10,1100,0
-6.8259110443760616,1.0,UNGS,10,1100,0
-7.039285958579068,0.96,NV,10,1100,0
-6.936269863626427,1.0,UG,10,1100,0
-6.843714357492347,1.0,Sectioning,20,1100,0
-6.898036742110933,0.98,NGS,20,1100,0
-6.876124364347991,0.98,UNGS,20,1100,0
-7.104421483465718,0.89,NV,20,1100,0
-6.96279914682843,0.97,UG,20,1100,0
-6.75218430947486,1.0,Sectioning,30,1100,0
-6.883110532217797,1.0,NGS,30,1100,0
-6.8748937584014405,1.0,UNGS,30,1100,0
-7.11337192949586,0.89,NV,30,1100,0
-6.954039942445741,0.99,UG,30,1100,0
-6.806089055971742,1.0,Sectioning,40,1100,0
-6.865456061397961,0.99,NGS,40,1100,0
-6.853743704565614,1.0,UNGS,40,1100,0
-7.127521200588947,0.94,NV,40,1100,0
-6.96399354150031,0.99,UG,40,1100,0
-6.712147942292386,1.0,Sectioning,50,1100,0
-6.86750090172656,1.0,NGS,50,1100,0
-6.8438523455560665,1.0,UNGS,50,1100,0
-7.13566083269239,0.91,NV,50,1100,0
-6.95706709110127,0.99,UG,50,1100,0
